協力者,調査地,母語,年齢,性別,J-CAT (合計),JLPT
CCH02,中国語(中国D有),中国語,22.0,女性,239,N2
CCH03,中国語(中国D有),中国語,21.0,男性,248,N2
CCM51,中国語(中国D無),中国語,20.0,女性,354,N1
CCH06,中国語(中国D有),中国語,21.0,女性,231,N2
CCH07,中国語(中国D有),中国語,20.0,女性,287,N1
CCH08,中国語(中国D有),中国語,21.0,女性,253,N1
CCH09,中国語(中国D有),中国語,21.0,女性,294,N1
CCH10,中国語(中国D有),中国語,22.0,女性,210,N2
CCH11,中国語(中国D有),中国語,19.0,女性,261,N1
CCH12,中国語(中国D有),中国語,19.0,男性,282,N1
CCH13,中国語(中国D有),中国語,22.0,女性,227,N2
CCH15,中国語(中国D有),中国語,21.0,女性,231,N2
CCH16,中国語(中国D有),中国語,22.0,女性,293,N1
CCH17,中国語(中国D有),中国語,21.0,女性,258,N1
CCH18,中国語(中国D有),中国語,21.0,女性,209,N2
CCH19,中国語(中国D有),中国語,19.0,女性,214,N2
CCH20,中国語(中国D有),中国語,19.0,女性,200,N2
JJE07,国内教室環境,中国語,27.0,男性,82,N5
CCH21,中国語(中国D有),中国語,20.0,男性,169,N3
CCH22,中国語(中国D有),中国語,19.0,女性,224,N2
JJC05,国内教室環境,中国語,22.0,男性,83,N5
CCH23,中国語(中国D有),中国語,21.0,女性,209,N2
CCH24,中国語(中国D有),中国語,20.0,男性,171,N3
CCH25,中国語(中国D有),中国語,20.0,女性,161,N3
CCH26,中国語(中国D有),中国語,19.0,女性,198,N3
CCH27,中国語(中国D有),中国語,19.0,女性,202,N2
CCM35,中国語(中国D無),中国語,21.0,女性,320,N1
CCH28,中国語(中国D有),中国語,19.0,男性,165,N3
CCH29,中国語(中国D有),中国語,20.0,女性,203,N2
CCH30,中国語(中国D有),中国語,19.0,男性,186,N3
CCH31,中国語(中国D有),中国語,20.0,男性,174,N3
CCH32,中国語(中国D有),中国語,23.0,女性,223,N2
JJE57,国内教室環境,中国語,22.0,女性,91,N5
CCH33,中国語(中国D有),中国語,21.0,女性,265,N1
CCH34,中国語(中国D有),中国語,20.0,女性,214,N2
CCH35,中国語(中国D有),中国語,20.0,女性,265,N1
CCM50,中国語(中国D無),中国語,21.0,女性,310,N1
CCH36,中国語(中国D有),中国語,21.0,男性,181,N3
CCH37,中国語(中国D有),中国語,20.0,男性,255,N1
CCH38,中国語(中国D有),中国語,20.0,女性,239,N2
CCH39,中国語(中国D有),中国語,20.0,男性,227,N2
CCH40,中国語(中国D有),中国語,20.0,女性,215,N2
CCH42,中国語(中国D有),中国語,21.0,女性,248,N2
CCH43,中国語(中国D有),中国語,20.0,女性,229,N2
CCH45,中国語(中国D有),中国語,21.0,男性,264,N1
CCH46,中国語(中国D有),中国語,21.0,女性,266,N1
CCH48,中国語(中国D有),中国語,18.0,女性,191,N3
CCH49,中国語(中国D有),中国語,20.0,女性,147,N4
CCM53,中国語(中国D無),中国語,23.0,男性,103,N4
CCH50,中国語(中国D有),中国語,19.0,女性,191,N3
CCM54,中国語(中国D無),中国語,21.0,女性,300,N1
CCH51,中国語(中国D有),中国語,21.0,女性,211,N2
CCH52,中国語(中国D有),中国語,21.0,未回答,209,N2
CCM01,中国語(中国D無),中国語,19.0,男性,299,N1
CCH54,中国語(中国D有),中国語,18.0,女性,224,N2
CCH55,中国語(中国D有),中国語,23.0,女性,286,N1
CCH56,中国語(中国D有),中国語,22.0,女性,236,N2
CCH59,中国語(中国D有),中国語,20.0,女性,248,N2
CCH63,中国語(中国D有),中国語,21.0,女性,176,N3
CCM02,中国語(中国D無),中国語,19.0,女性,218,N2
JJE05,国内教室環境,中国語,22.0,男性,109,N4
CCM03,中国語(中国D無),中国語,21.0,女性,251,N1
CCM04,中国語(中国D無),中国語,22.0,女性,267,N1
CCM05,中国語(中国D無),中国語,21.0,未回答,259,N1
CCM06,中国語(中国D無),中国語,21.0,女性,167,N3
CCM07,中国語(中国D無),中国語,20.0,女性,185,N3
CCM08,中国語(中国D無),中国語,22.0,男性,235,N2
CCM10,中国語(中国D無),中国語,19.0,女性,235,N2
CCM11,中国語(中国D無),中国語,23.0,女性,268,N1
JJC08,国内教室環境,中国語,21.0,男性,114,N4
CCM12,中国語(中国D無),中国語,22.0,男性,213,N2
CCM13,中国語(中国D無),中国語,20.0,女性,216,N2
CCM14,中国語(中国D無),中国語,21.0,女性,175,N3
CCM15,中国語(中国D無),中国語,22.0,女性,285,N1
CCM16,中国語(中国D無),中国語,23.0,男性,223,N2
CCM17,中国語(中国D無),中国語,20.0,女性,210,N2
CCM33,中国語(中国D無),中国語,22.0,女性,288,N1
