協力者,調査地,母語,年齢,性別,J-CAT (合計)
CCH02,中国語(中国D有),-,-,-,-
JJN58,国内自然習得,-,-,-,-
JJN55,国内自然習得,英語,38,男性,175
HHG35,ハンガリー語,ハンガリー語,24,男性,172
KKD47,韓国語,韓国語,19,男性,231
JJN56,国内自然習得,-,-,-,-
IID51,インドネシア語,インドネシア語,20,女性,172
VVN01,ベトナム語,ベトナム語,20,男性,231
JJN53,国内自然習得,タガログ語,31,女性,245
JJN52,国内自然習得,インドネシア語,56,男性,81
GAT20,ドイツ語,ドイツ語,21,女性,172
HHG20,ハンガリー語,ハンガリー語,22,女性,231
HHG07,ハンガリー語,ハンガリー語,23,女性,172
KKD10,韓国語,韓国語,25,女性,231
JJN63,国内自然習得,韓国語,43,女性,230
SES50,スペイン語,スペイン語,25,女性,172
JJE69,国内教室環境,英語,17,男性,232
KKD01,韓国語,-,-,-,-
CCH24,中国語(中国D有),中国語,20,男性,171
JJE70,国内教室環境,韓国語,20,女性,232
KKD02,韓国語,-,-,-,-
JJN59,国内自然習得,韓国語,51,女性,294
RRS28,ロシア語,ロシア語,22,女性,172
CCT43,中国語(台湾),中国語（台湾）,21,女性,232
SES32,スペイン語,スペイン語,23,女性,172
GAT33,ドイツ語,ドイツ語,25,女性,232
VVN44,ベトナム語,ベトナム語,20,女性,229
JJN48,国内自然習得,中国語,26,女性,155
JJN47,国内自然習得,-,-,-,-
TTR13,トルコ語,トルコ語,20,女性,173
HHG39,ハンガリー語,ハンガリー語,31,男性,230
HHG37,ハンガリー語,ハンガリー語,26,女性,230
JJE46,国内教室環境,ベトナム語,26,女性,173
JJN46,国内自然習得,中国語,63,女性,126
JJN44,国内自然習得,スペイン語,54,男性,58
IID14,インドネシア語,インドネシア語,21,男性,173
CCS44,中国語(台湾),中国語（台湾）,21,女性,230
TTR39,トルコ語,トルコ語,25,女性,173
ENZ33,英語(D無),英語,19,女性,172
CCH15,中国語(中国D有),中国語,21,女性,231
JJN51,国内自然習得,-,-,-,-
FFR42,フランス語,フランス語,20,男性,172
EAU15,英語(D無),英語,23,女性,231
JJN50,国内自然習得,中国語,51,男性,134
JJN49,国内自然習得,-,-,-,-
ENZ02,英語(D無),英語,21,女性,172
CCH06,中国語(中国D有),中国語,21,女性,231
KKD15,韓国語,韓国語,20,男性,264
KKD12,韓国語,韓国語,25,女性,295
IID11,インドネシア語,インドネシア語,21,女性,170
CCM08,中国語(中国D無),中国語,22,男性,235
KKD14,韓国語,-,-,-,-
JJC16,国内教室環境,ベトナム語,21,男性,170
CCM10,中国語(中国D無),中国語,19,女性,235
KKD11,韓国語,韓国語,31,男性,327
CCT58,中国語(台湾),中国語（台湾）,20,女性,234
GAT27,ドイツ語,ドイツ語,26,男性,170
RRS14,ロシア語,ロシア語,22,女性,234
KKD17,韓国語,-,-,-,-
TTR29,トルコ語,トルコ語,24,女性,170
EAU34,英語(D無),英語,21,男性,235
KKD18,韓国語,-,-,-,-
VVN17,ベトナム語,ベトナム語,21,女性,170
GAT37,ドイツ語,ドイツ語,22,男性,235
KKD19,韓国語,-,-,-,-
KKD16,韓国語,-,-,-,-
RRS41,ロシア語,ロシア語,19,女性,170
CCM48,中国語(中国D無),中国語,22,男性,235
TTH30,タイ語,タイ語,21,女性,170
CCS31,中国語(台湾),中国語（台湾）,21,女性,235
EUS17,英語(D有),英語,21,女性,170
KKD05,韓国語,-,-,-,-
FFR44,フランス語,フランス語,21,女性,171
TTR26,トルコ語,トルコ語,21,女性,232
KKD06,韓国語,-,-,-,-
IID47,インドネシア語,インドネシア語,20,女性,171
KKD04,韓国語,-,-,-,-
EUS27,英語(D有),英語,21,女性,171
RRS11,ロシア語,ロシア語,23,女性,232
FFR15,フランス語,フランス語,20,女性,171
TTH34,タイ語,タイ語,20,女性,232
VVN48,ベトナム語,ベトナム語,21,女性,232
KKD07,韓国語,-,-,-,-
KKD09,韓国語,韓国語,23,女性,345
JJE67,国内教室環境,中国語,25,女性,171
VVN57,ベトナム語,ベトナム語,22,女性,233
CCS47,中国語(台湾),中国語（台湾）,23,女性,234
JJE56,国内教室環境,中国語,22,女性,171
JJN16,国内自然習得,ポルトガル語,45,女性,233
JJE55,国内教室環境,中国語,28,男性,171
KKD08,韓国語,-,-,-,-
GDE12,ドイツ語,ドイツ語,20,男性,173
KKR34,韓国語,韓国語,22,女性,286
JJN31,国内自然習得,ベトナム語,29,男性,227
JJN17,国内自然習得,ポルトガル語,42,女性,265
FFR07,フランス語,フランス語,29,男性,176
JJN29,国内自然習得,フランス語,41,女性,227
JJN18,国内自然習得,-,-,-,-
JJN15,国内自然習得,-,-,-,-
TTR18,トルコ語,トルコ語,25,男性,177
CCH39,中国語(中国D有),中国語,20,男性,227
JJN09,国内自然習得,ポルトガル語,40,女性,227
CCH63,中国語(中国D有),中国語,21,女性,176
GAT06,ドイツ語,ドイツ語,22,女性,176
JJN19,国内自然習得,-,-,-,-
JJN21,国内自然習得,-,-,-,-
KKR57,韓国語,韓国語,24,女性,176
CCS36,中国語(台湾),中国語（台湾）,21,女性,228
JJN23,国内自然習得,-,-,-,-
TTR60,トルコ語,トルコ語,19,女性,227
JJE18,国内教室環境,ベトナム語,23,男性,176
JJN20,国内自然習得,英語,42,男性,281
IID16,インドネシア語,インドネシア語,20,女性,176
RRS12,ロシア語,ロシア語,17,女性,227
JJN43,国内自然習得,クメール語,36,男性,127
JJN11,国内自然習得,-,-,-,-
JJC28,国内教室環境,中国語,23,男性,178
TTH42,タイ語,タイ語,20,女性,225
JJN10,国内自然習得,-,-,-,-
JJN07,国内自然習得,ポルトガル語,45,女性,178
FFR03,フランス語,フランス語,27,男性,226
JJN08,国内自然習得,ポルトガル語,46,男性,186
HHG60,ハンガリー語,ハンガリー語,20,男性,178
KKR09,韓国語,韓国語,24,男性,225
IID07,インドネシア語,インドネシア語,21,女性,178
RRS57,ロシア語,ロシア語,23,女性,225
JJN13,国内自然習得,ポルトガル語,44,女性,251
CCS43,中国語(台湾),中国語（台湾）,21,女性,177
KKD38,韓国語,韓国語,26,女性,226
JJN14,国内自然習得,-,-,-,-
KKD34,韓国語,韓国語,26,男性,177
CCH13,中国語(中国D有),中国語,22,女性,227
JJN12,国内自然習得,ポルトガル語,47,女性,240
GAT31,ドイツ語,ドイツ語,21,女性,226
SES23,スペイン語,スペイン語,46,男性,178
JJN39,国内自然習得,ロシア語,52,女性,174
JJN34,国内自然習得,ロシア語,35,女性,217
HHG45,ハンガリー語,ハンガリー語,22,女性,229
JJN36,国内自然習得,-,-,-,-
KKR07,韓国語,韓国語,21,女性,174
JJC33,国内教室環境,中国語,22,男性,229
JJN33,国内自然習得,韓国語,35,女性,258
JJN32,国内自然習得,ヒンディー語,20,男性,113
CCH31,中国語(中国D有),中国語,20,男性,174
EUS32,英語(D有),英語,22,男性,229
CCS21,中国語(台湾),中国語（台湾）,21,女性,174
GAT11,ドイツ語,ドイツ語,20,男性,229
CCM14,中国語(中国D無),中国語,21,女性,175
JJN42,国内自然習得,-,-,-,-
FFR23,フランス語,フランス語,21,男性,173
VVN31,ベトナム語,ベトナム語,20,女性,229
TTH46,タイ語,タイ語,22,女性,229
JJN40,国内自然習得,-,-,-,-
TTH20,タイ語,タイ語,21,男性,174
KKD55,韓国語,韓国語,22,女性,229
EGB26,英語(D有),英語,23,女性,173
JJN25,国内自然習得,中国語,31,女性,278
FFR27,フランス語,フランス語,21,女性,175
TTH51,タイ語,タイ語,21,女性,228
JJN26,国内自然習得,-,-,-,-
GAT05,ドイツ語,ドイツ語,22,女性,175
TTR46,トルコ語,トルコ語,20,男性,228
JJN27,国内自然習得,-,-,-,-
JJN24,国内自然習得,英語,26,男性,137
CCT45,中国語(台湾),中国語（台湾）,19,女性,228
FFR17,フランス語,フランス語,19,女性,175
TTH29,タイ語,タイ語,20,男性,228
JJN30,国内自然習得,英語,27,男性,156
CCM52,中国語(中国D無),中国語,21,女性,229
TTH45,タイ語,タイ語,22,女性,175
CCT40,中国語(台湾),中国語（台湾）,19,女性,229
GAT25,ドイツ語,ドイツ語,24,男性,175
CCH43,中国語(中国D有),中国語,20,女性,229
CCM29,中国語(中国D無),中国語,21,女性,229
KKR12,韓国語,-,-,-,-
KKR10,韓国語,-,-,-,-
VVN35,ベトナム語,ベトナム語,21,女性,162
TTR04,トルコ語,トルコ語,25,男性,243
KKR11,韓国語,-,-,-,-
CCH25,中国語(中国D有),中国語,20,女性,161
VVN10,ベトナム語,ベトナム語,21,女性,243
RRS01,ロシア語,ロシア語,18,女性,162
TTR34,トルコ語,トルコ語,21,女性,162
KKR51,韓国語,韓国語,22,女性,243
KKR08,韓国語,-,-,-,-
KKR14,韓国語,韓国語,26,女性,235
GAT08,ドイツ語,ドイツ語,23,男性,161
RRS24,ロシア語,ロシア語,20,女性,244
KKR15,韓国語,-,-,-,-
IID31,インドネシア語,インドネシア語,21,女性,161
TTH37,タイ語,タイ語,22,女性,244
KKR16,韓国語,-,-,-,-
KKR13,韓国語,韓国語,24,男性,346
FFR20,フランス語,フランス語,21,女性,161
JJC09,国内教室環境,タイ語,29,男性,244
FFR53,フランス語,フランス語,23,男性,161
KKR50,韓国語,韓国語,23,女性,244
KKR03,韓国語,-,-,-,-
HHG32,ハンガリー語,ハンガリー語,27,男性,163
GDE14,ドイツ語,ドイツ語,33,男性,242
KKR04,韓国語,-,-,-,-
TTH15,タイ語,タイ語,30,女性,241
KKR01,韓国語,-,-,-,-
KKD60,韓国語,-,-,-,-
GAT34,ドイツ語,ドイツ語,25,女性,163
KKR53,韓国語,韓国語,24,女性,241
GAT42,ドイツ語,ドイツ語,25,男性,163
JJE16,国内教室環境,中国語,28,男性,242
